Season,Region,Seed,DisplayName
2026,East,W01,Duke
2026,East,W16,Siena
2026,East,W08,Ohio State
2026,East,W09,TCU
2026,East,W05,St. John's
2026,East,W12,Northern Iowa
2026,East,W04,Kansas
2026,East,W13,California Baptist
2026,East,W06,Louisville
2026,East,W11,South Florida
2026,East,W03,Michigan State
2026,East,W14,North Dakota State
2026,East,W07,UCLA
2026,East,W10,UCF
2026,East,W02,UConn
2026,East,W15,Furman
2026,South,X01,Florida
2026,South,X16a,Prairie View A&M
2026,South,X16b,Lehigh
2026,South,X08,Clemson
2026,South,X09,Iowa
2026,South,X05,Vanderbilt
2026,South,X12,McNeese
2026,South,X04,Nebraska
2026,South,X13,Troy
2026,South,X06,North Carolina
2026,South,X11,VCU
2026,South,X03,Illinois
2026,South,X14,Penn
2026,South,X07,Saint Mary's
2026,South,X10,Texas A&M
2026,South,X02,Houston
2026,South,X15,Idaho
2026,West,Y01,Arizona
2026,West,Y16,LIU
2026,West,Y08,Villanova
2026,West,Y09,Utah State
2026,West,Y05,Wisconsin
2026,West,Y12,High Point
2026,West,Y04,Arkansas
2026,West,Y13,Hawaii
2026,West,Y06,BYU
2026,West,Y11a,Texas
2026,West,Y11b,NC State
2026,West,Y03,Gonzaga
2026,West,Y14,Kennesaw State
2026,West,Y07,Miami
2026,West,Y10,Missouri
2026,West,Y02,Purdue
2026,West,Y15,Queens
2026,Midwest,Z01,Michigan
2026,Midwest,Z16a,UMBC
2026,Midwest,Z16b,Howard
2026,Midwest,Z08,Georgia
2026,Midwest,Z09,Saint Louis
2026,Midwest,Z05,Texas Tech
2026,Midwest,Z12,Akron
2026,Midwest,Z04,Alabama
2026,Midwest,Z13,Hofstra
2026,Midwest,Z06,Tennessee
2026,Midwest,Z11a,Miami (Ohio)
2026,Midwest,Z11b,SMU
2026,Midwest,Z03,Virginia
2026,Midwest,Z14,Wright State
2026,Midwest,Z07,Kentucky
2026,Midwest,Z10,Santa Clara
2026,Midwest,Z02,Iowa State
2026,Midwest,Z15,Tennessee State
